Quarter,From_category,To_category,Symbol,Value,DOT_USD
2022Q2,DAO Wallet,Metagov,USDC,50000.0,50000.0
2022Q2,DAO Wallet,Metagov,ENS,2700.0,48512.2
2022Q2,Metagov,DAO Tooling,USDC,-17000.0,-17000.0
2022Q2 Unspent,Metagov,Metagov,ETH,0.0,0.0
2022Q2 Unspent,Metagov,Metagov,USDC,33000.0,33000.0
2022Q2 Unspent,Metagov,Metagov,ENS,2700.0,23868.0
2022Q3,DAO Wallet,Metagov,USDC,402000.0,402000.0
2022Q3,DAO Wallet,Metagov,ENS,15500.0,225073.86
2022Q3,DAO Wallet,Metagov,ETH,25.0,48400.5
2022Q3,Metagov,Salaries,USDC,-52330.0,-52330.0
2022Q3,Metagov,DAO Tooling,USDC,-10000.0,-10000.0
2022Q3,Metagov,ENS Governance,ENS,-250.0,-3201.91
2022Q3,Metagov,ENS Governance,USDC,-1500.0,-1500.0
2022Q3 Unspent,Metagov,Metagov,USDC,371170.0,371170.0
2022Q3 Unspent,Metagov,Metagov,ETH,25.0,33412.5
2022Q3 Unspent,Metagov,Metagov,ENS,17950.0,282174.0
2022Q4,Metagov,Salaries,USDC,-78495.0,-78495.0
2022Q4,Metagov,DAO Tooling,USDC,-49000.0,-49000.0
2022Q4,Metagov,Public Goods,ETH,-5.0,-6314.75
2022Q4,Metagov,Governance,ETH,-3.0,-4002.66
2022Q4,Metagov,DAO Tooling,ENS,-10.0,-110.14
2022Q4 Unspent,Metagov,Metagov,ETH,17.0,20311.6
2022Q4 Unspent,Metagov,Metagov,USDC,243675.0,243675.0
2022Q4 Unspent,Metagov,Metagov,ENS,17940.0,191599.19999999998
2023Q1,DAO Wallet,Metagov,ETH,275.0,427467.0
2023Q1,DAO Wallet,Metagov,USDC,364000.0,364000.0
2023Q1,DAO Wallet,Metagov,ENS,3500.0,49034.39
2023Q1,Metagov,Salaries,USDC,-116166.0,-116166.0
2023Q1,Metagov,$ENS Vesting,ENS,-6000.0,-67962.0
2023Q1,Metagov,DAO Tooling,ENS,-3000.0,-33981.0
2023Q1,Metagov,Discretionary,USDC,-15000.0,-15000.0
2023Q1 Unspent,Metagov,Metagov,USDC,476509.0,476509.0
2023Q1 Unspent,Metagov,Metagov,ENS,12440.0,165576.4
2023Q1 Unspent,Metagov,Metagov,ETH,292.0,525278.8
2023Q2,Discretionary,Metagov,USDC,4500.0,4500.0
2023Q2,Metagov,Salaries,USDC,-87501.0,-87501.0
2023Q2,Metagov,DAO Tooling,USDC,-80000.0,-80000.0
2023Q2,Metagov,Endowment Fees,ETH,-29.479999999999997,-55228.2894
2023Q2,Metagov,DAO Tooling,ENS,-2000.0,-17220.64
2023Q2,Metagov,Discretionary,USDC,-6500.0,-6500.0
2023Q2,Metagov,Governance,USDC,-5000.0,-5000.0
2023Q2,Metagov,Governance,ETH,-0.0153319644079397,-27.723564681724724
2023Q2 Unspent,Metagov,Metagov,ETH,262.5046680355921,487392.41714168387
2023Q2 Unspent,Metagov,Metagov,USDC,302008.0,302008.0
2023Q2 Unspent,Metagov,Metagov,ENS,10440.0,89888.4
2023Q3,CoW Swap,Metagov,USDC,185545.094186,185545.094186
2023Q3,Delegate Gas Ref.,Metagov,ETH,0.0237281674419535,44.58143546867096
2023Q3,Metagov,CoW Swap,ETH,-100.0,-185290.0
2023Q3,Metagov,Salaries,USDC,-101400.0,-101400.0
2023Q3,Metagov,$ENS Vesting,ENS,-6200.0,-60323.990000000005
2023Q3,Metagov,Endowment Fees,ETH,-33.83,-59079.576400000005
2023Q3,Metagov,Delegate Gas Ref.,ETH,-8.825,-16580.0915
2023Q3,Metagov,DAO Tooling,ENS,-1000.0,-9158.16
2023Q3,Metagov,DAO Tooling,USDC,-5000.0,-5000.0
2023Q3 Unspent,Metagov,Metagov,ENS,3240.0,24559.2
2023Q3 Unspent,Metagov,Metagov,USDC,381153.094186,381153.094186
2023Q3 Unspent,Metagov,Metagov,ETH,119.87339620303405,200068.69826286382
2023Q4,DAO Wallet,Metagov,ENS,52300.0,475407.0
2023Q4,DAO Wallet,Metagov,USDC,376000.0,376000.0
2023Q4,DAO Wallet,Metagov,ETH,157.0,272157.68
2023Q4,Metagov,$ENS Vesting,ENS,-40000.0,-343600.0
2023Q4,Metagov,Invalid Names Ref.,ETH,-113.622525757201,-270460.2429608958
2023Q4,Metagov,DAO Tooling,USDC,-130000.0,-130000.0
2023Q4,Metagov,Salaries,USDC,-122300.0,-122300.0
2023Q4,Metagov,Endowment Fees,ETH,-52.67,-105723.1232
2023Q4,Metagov,Audit,USDC,-49000.0,-49000.0
2023Q4,Metagov,Discretionary,USDC,-6473.09321,-6473.09321
2023Q4 Unspent,Metagov,Metagov,ENS,15540.0,152913.6
2023Q4 Unspent,Metagov,Metagov,USDC,449380.000976,449380.000976
